"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"831","RT @ArianaGrande: ""full out!"" @jammyprod ‚ô° ‚ô° ‚ô° I love my #hairspraylive family with all my damn heart. what an‚Ä¶ https://t.co/E7ehTFHqpo",FALSE,0,NA,2016-12-10 20:38:54,FALSE,NA,"807686048700657664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kornilakh",4954,TRUE,FALSE,NA,NA
"832","RT @ArianaGrande: Tonight is the night #hairspraylive 8/7c on nbc ‚ô° Ì†ΩÌ≥∫I'm so proud of my friends and of everyone‚Ä¶ https://t.co/SRHJojSMcM",FALSE,0,NA,2016-12-10 20:38:47,FALSE,NA,"807686019692855301",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kornilakh",9268,TRUE,FALSE,NA,NA
"833","RT @HairsprayLive: .@IAMJHUD slays this empowering classic! #HairsprayLive https://t.co/J965gbRnmr",FALSE,0,NA,2016-12-10 20:38:05,FALSE,NA,"807685840537206784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chymeariver",3022,TRUE,FALSE,NA,NA
"834","guys i woke up early so i could watch #HairsprayLive on hulu and use the afternoon to study for my final at 4 and now i cant focus #finals",FALSE,1,NA,2016-12-10 20:37:46,FALSE,NA,"807685760484868097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TJMassey1495",0,FALSE,FALSE,NA,NA
"835","also cheno is ma life as always #HairsprayLive",FALSE,0,NA,2016-12-10 20:37:42,FALSE,NA,"807685744559005698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cosmocaits",0,FALSE,FALSE,NA,NA
"836","'chubby communist girl' MEEEE #HairsprayLive",FALSE,0,NA,2016-12-10 20:37:24,FALSE,NA,"807685671410421760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cosmocaits",0,FALSE,FALSE,NA,NA
"837","RT @MadisonBeer: jennifer. hudson. you. are. magical. #hairspraylive",FALSE,0,NA,2016-12-10 20:36:21,FALSE,NA,"807685405294346240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harmoniacyruzs",1260,TRUE,FALSE,NA,NA
"838","RT @HairsprayLive: Love #HairsprayLive with all your heart? Relive your favorite moments now! Ì†ΩÌ≤ñ Ì†ºÌæ∂
DVD: https://t.co/jWJXs4piPu
CD: https://‚Ä¶",FALSE,0,NA,2016-12-10 20:36:21,FALSE,NA,"807685404426014720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dcs_T",95,TRUE,FALSE,NA,NA
"839","RT @HairsprayLive: Give it up for our amazing #HairsprayLive cast! ‚ú® https://t.co/jiReh653AC",FALSE,0,NA,2016-12-10 20:36:19,FALSE,NA,"807685395886567424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TayuraR",104,TRUE,FALSE,NA,NA
"840","RT @ArianaTodayNet: Ariana with @DoveCameron, @neilmeron, @garrettclayton1 &amp; @ephsykes after finishing #HairsprayLive (December 7) https://‚Ä¶",FALSE,0,NA,2016-12-10 20:36:03,FALSE,NA,"807685330648387584",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","dovexstoespos",149,TRUE,FALSE,NA,NA
